It is hot and sweaty today,bad
it is very cloudy today,bad
I can't stand this sweltring weather,bad
it is extremely cold today,bad
the snow is shutting down the city,bad
frigid temperatures are keeping everyone inside their homes,bad
dangerously cold today,bad
bad road conditions,bad
foggy conditions make driving harder,bad
watch out for black ice on the roads,bad
high speed winds are causing serious damages,bad
I hate this humid and hot weather,bad
it was a grey afternoon with dull sky threatening rain.,bad
"the sky above was full of tumultous, dark, rugged clouds.",bad
the morning was cold and wet with a brisk wind sweeping the rain across the land,bad
nice and warm weather,good
I love this fall weather,good
weather is perfect for a drive,good
the weather is beautiful today,good
weather is sunny,good
beautiful spring weather,good
temperature in the 70s,good
breezy cool weather,good
clear blue sky today,good
the sun rose in a pool of crimson and gold,good
it was a lovely walk with the suns setting behind the mountain in a sea of gold,good
Palm trees swayed gently in the breeze in the warm tropical sunshine,good
A golden glow spread across the sky as the sun chased the clouds away,good
the weather forecast calls for beatiful day with ample sunshine,good
